English,Traditional Chinese (Taiwan),Traditional Chinese (Hong Kong),Simplified Chinese,Source Content,Timestamp
Supreme Chancellor,最高議長,共和國議長,首相,威脅潛伏,00:02:06
Master (Jedi title),師父,師父,师父,威脅潛伏,00:03:06
Obi-Wan,歐比王,Obi-Wan,欧比旺,威脅潛伏,00:03:13
Master Yoda,尤達大師,Yoda大師,尤达师父,威脅潛伏,00:03:19
The Force,原力,原力,原力,威脅潛伏,00:03:24
Viceroy,總督,總督,贸易总督,威脅潛伏,00:03:31
Trade Federation,貿易聯邦,貿易聯會,贸易联盟,威脅潛伏,00:03:35
Jedi,絕地武士,Jedi武士,绝地武士,威脅潛伏,00:03:43
Lord Sidious,達斯西帝,Lord Sidious,西迪厄斯大人,威脅潛伏,00:03:51
Droid,機器人,機械人,机器人,威脅潛伏,00:04:01
Dioxis,毒氣,毒氣,毒气,威脅潛伏,00:05:18
Droidekas,殺手機器人,機械人,,威脅潛伏,00:06:09
Destroyers (Droidekas),殺手機器人,機械人,,威脅潛伏,00:06:58
Battle droids,戰鬥機器人,機械兵團,战斗机器人,威脅潛伏,00:07:32
Naboo,那卜,Naboo,纳布星球,威脅潛伏,00:07:39
Chancellor Valorum,魏倫議長,Valorum議長,维罗伦首相,威脅潛伏,00:07:39
Queen Amidala,艾米達拉女王,Amidala女王,阿米达拉女王,威脅潛伏,00:07:57
Senate,議會,參議會,国会,威脅潛伏,00:08:32
Senator Palpatine,白卜庭議員,Palpatine議員,帕尔帕庭议员,威脅潛伏,00:09:13
Jar Jar Binks,恰恰冰克斯,Jar Jar Binks,加加宾可斯,威脅潛伏,00:11:29
Gunga City,剛耿市,Gunga城,冈根城,威脅潛伏,00:11:57
Gungan,剛耿族,Gungan人,冈根人,威脅潛伏,00:13:00
Droid army,機器兵團,機械兵團,机械人部队,威脅潛伏,00:14:57
Symbiont circle,生命共同體,唇齒相依,共生关系,威脅潛伏,00:15:26
Bongo,邦戈,Bongo,邦高,威脅潛伏,00:15:45
The Republic,共和國,共和國,共和国,威脅潛伏,00:23:12
Coruscant,科羅森,Coruscant,科罗斯肯特,威脅潛伏,00:23:28
Hyperdrive,超光速引擎,超光速推進,超光速引擎,威脅潛伏,00:26:43
Tatooine,塔圖因,Tatooine,塔图因,威脅潛伏,00:26:49
Hutts,赫特族,Hutt人,赫特人,威脅潛伏,00:26:57
Sith,西斯,Sith,西斯人,威脅潛伏,00:27:37
